description,category
friend 120,Other
paid dth for bill payment 650,Bills
charity transfer 1200,Other
paid nike store for furniture 250,Shopping
friend 250,Other
myntra 250,Shopping
ride 999 rapido,Transport
paid airport taxi for recharge 300,Transport
atm - cash payment,Other
membership fee at dentist 2000,Health
paid railway for fuel 500,Transport
paid library for course fee 450,Education
tuition fee at udemy 500,Education
udemy 99,Education
donation 2000 charity,Other
workshop at tuition center 200,Education
zara - purchase,Shopping
spotify 150,Entertainment
electricity board 650,Bills
subway 2000,Food
paid youtube premium for subscription 200,Entertainment
streaming 50 pvr cinemas,Entertainment
coursera - book purchase,Education
movie ticket 1200 pvr cinemas,Entertainment
subscription 1200 pvr cinemas,Entertainment
local market - furniture,Shopping
fuel 2000 bus pass,Transport
consultation at hospital 200,Health
landlord - invoice,Bills
parking - ride,Transport
school - certification,Education
gadget 150 zara,Shopping
cab 1500 ola,Transport
mall order 800,Shopping
mobile network 1500,Bills
college workshop 2000,Education
shoes at ikea 99,Shopping
snacks at mcdonalds 2500,Food
mobile network monthly bill 650,Bills
gym 150,Health
physiotherapist - insurance premium,Health
ikea 250,Shopping
paid broadband provider for rent 2500,Bills
exam fee at tuition center 300,Education
groceries 120 swiggy,Food
parking commute 800,Transport
recharge at water department 120,Bills
apollo pharmacy 800,Health
dentist treatment 800,Health
fare 800 railway,Transport
physiotherapist - checkup,Health
lunch at local cafe 450,Food
dth 120,Bills
game purchase 99 youtube premium,Entertainment
starbucks - breakfast,Food
charity transfer 150,Other
paid charity for withdrawal 50,Other
movie ticket 300 amusement park,Entertainment
paid tuition center for workshop 2000,Education
electricity board invoice 300,Bills
paid ikea for purchase 2500,Shopping
bakery 200,Food
furniture at h&m 650,Shopping
miscellaneous vendor 450,Other
paid bank for withdrawal 650,Other
paid swiggy for lunch 99,Food
paid decathlon for furniture 450,Shopping
gaming store 650,Entertainment
spotify - outing,Entertainment
paid bus pass for top-up 650,Transport
subscription fee at electricity board 250,Bills
hospital 999,Health
local cafe meal 500,Food
paid myntra for purchase 200,Shopping
coursera - workshop,Education
movie ticket 1200 spotify,Entertainment
unknown merchant 99,Other
amazon 800,Shopping
ticket 250 ola,Transport
exam board exam fee 99,Education
physiotherapist 200,Health
paid udemy for tuition fee 2500,Education
uber ticket 999,Transport
disney+ hotstar 800,Entertainment
water department 650,Bills
insurance premium at apollo pharmacy 999,Health
spotify 250,Entertainment
broadband provider - recharge,Bills
paid apollo pharmacy for consultation 2500,Health
physiotherapist insurance premium 999,Health
charity 800,Other
paid youtube premium for concert ticket 450,Entertainment
landlord - bill payment,Bills
paid myntra for electronics 50,Shopping
metro - cab,Transport
dentist insurance premium 50,Health
charity - transfer,Other
diagnostic lab 450,Health
friend - gift,Other
consultation at diagnostic lab 250,Health
youtube premium outing 2000,Entertainment
parking 650,Transport
water department rent 200,Bills
myntra 2000,Shopping
bank - gift,Other
breakfast 50 kfc,Food
paid railway for fuel 650,Transport
paid decathlon for electronics 800,Shopping
transfer 200 charity,Other
paid youtube premium for outing 500,Entertainment
ola - fuel,Transport
rent 500 gas agency,Bills
paid starbucks for coffee 250,Food
zomato lunch 1200,Food
atm cash payment 2000,Other
kfc groceries 500,Food
exam board workshop 999,Education
paid atm for withdrawal 450,Other
paid h&m for gadget 150,Shopping
optician - consultation,Health
pizza hut order 450,Food
snacks 250 swiggy,Food
water department - bill payment,Bills
exam board certification 200,Education
shoes 800 nike store,Shopping
udemy book purchase 1500,Education
book purchase at school 2500,Education
petrol pump 450,Transport
book purchase 250 coursera,Education
miscellaneous vendor - transfer,Other
takeout 500 local cafe,Food
paid library for book purchase 150,Education
nike store - clothes,Shopping
medicine 200 diagnostic lab,Health
flipkart gadget 99,Shopping
dth - invoice,Bills
paid atm for donation 1500,Other
coursera - exam fee,Education
water department - subscription fee,Bills
udemy - certification,Education
shoes 99 decathlon,Shopping
railway 250,Transport
lunch 250 starbucks,Food
clinic insurance premium 2500,Health
myntra furniture 300,Shopping
bank donation 1500,Other
petrol pump - commute,Transport
mcdonalds 500,Food
paid dth for bill payment 1200,Bills
tuition center - course fee,Education
netflix movie ticket 800,Entertainment
invoice at electricity board 99,Bills
paid electricity board for rent 450,Bills
physiotherapist - insurance premium,Health
top-up at parking 200,Transport
paid water department for rent 300,Bills
food delivery at bakery 1500,Food
order 50 mcdonalds,Food
atm 200,Other
disney+ hotstar concert ticket 1500,Entertainment
concert ticket 800 gaming store,Entertainment
shoes 50 nike store,Shopping
paid optician for insurance premium 1500,Health
street food 1200,Food
monthly bill at electricity board 800,Bills
metro 99,Transport
hospital 2000,Health
gas agency - monthly bill,Bills
movie ticket 450 amusement park,Entertainment
water department subscription fee 2500,Bills
paid pizza hut for order 650,Food
paid grocery store for food delivery 150,Food
checkup 800 diagnostic lab,Health
flipkart 50,Shopping
consultation at optician 150,Health
bank gift 999,Other
paid apollo pharmacy for consultation 300,Health
game purchase at gaming store 2500,Entertainment
insurance premium at hospital 999,Health
recharge at rapido 250,Transport
diagnostic lab - consultation,Health
h&m order 450,Shopping
ola - recharge,Transport
myntra furniture 50,Shopping
rent at water department 120,Bills
landlord invoice 650,Bills
paid diagnostic lab for membership fee 650,Health
breakfast at local cafe 500,Food
groceries 50 zomato,Food
parking fare 250,Transport
shoes at nike store 1200,Shopping
udemy - certification,Education
zara 2500,Shopping
friend donation 200,Other
bookstore - workshop,Education
h&m purchase 50,Shopping
paid tuition center for course fee 50,Education
breakfast at pizza hut 2500,Food
game purchase 99 netflix,Entertainment
youtube premium subscription 2000,Entertainment
rent 2500 mobile network,Bills
coursera - exam fee,Education
electricity board rent 2500,Bills
library 800,Education
charity - withdrawal,Other
purchase 50 h&m,Shopping
paid toll for fare 450,Transport
paid physiotherapist for treatment 200,Health
furniture 500 decathlon,Shopping
bus pass - fare,Transport
paid landlord for monthly bill 99,Bills
paid physiotherapist for insurance premium 150,Health
invoice 99 mobile network,Bills
electricity board 650,Bills
cash payment 150 bank,Other
breakfast 1500 street food,Food
workshop at bookstore 1200,Education
water department 1500,Bills
local market electronics 50,Shopping
water department invoice 650,Bills
nike store 300,Shopping
concert subscription 450,Entertainment
amazon - clothes,Shopping
medicine at dentist 2500,Health
bank 2000,Other
paid gaming store for outing 50,Entertainment
checkup at apollo pharmacy 200,Health
gaming store 650,Entertainment
paid zomato for order 150,Food
udemy certification 250,Education
dentist consultation 2000,Health
landlord 300,Bills
youtube premium 999,Entertainment
ride 150 bus pass,Transport
clinic - consultation,Health
zara 450,Shopping
streaming at disney+ hotstar 500,Entertainment
workshop 2500 bookstore,Education
order at zomato 800,Food
mcdonalds meal 120,Food
zomato - dinner,Food
kfc dinner 450,Food
streaming 450 youtube premium,Entertainment
nike store 2000,Shopping
clinic - membership fee,Health
consultation 300 dentist,Health
paid physiotherapist for checkup 2000,Health
bus pass top-up 500,Transport
tuition center tuition fee 2000,Education
amusement park subscription 2000,Entertainment
membership fee 50 dentist,Health
recharge at toll 800,Transport
udemy 1200,Education
tuition center 120,Education
groceries 2000 street food,Food
netflix - streaming,Entertainment
insurance premium 999 hospital,Health
exam board 800,Education
medicine at dentist 800,Health
unknown merchant - donation,Other
myntra 1200,Shopping
paid school for workshop 2000,Education
checkup at clinic 99,Health
rapido fare 1200,Transport
nike store 250,Shopping
kfc snacks 450,Food
nike store - shoes,Shopping
exam board - exam fee,Education
gift shop - miscellaneous expense,Other
paid bus pass for fuel 300,Transport
gift shop 500,Other
zara - order,Shopping
top-up 650 rapido,Transport
ola fuel 500,Transport
h&m - shoes,Shopping
paid petrol pump for fare 50,Transport
streaming 800 youtube premium,Entertainment
ola ride 50,Transport
mcdonalds breakfast 2500,Food
paid amusement park for game purchase 1200,Entertainment
electricity board 450,Bills
miscellaneous vendor - withdrawal,Other
fuel at parking 1500,Transport
paid gym for treatment 150,Health
hospital - membership fee,Health
paid atm for transfer 500,Other
airport taxi recharge 1200,Transport
nike store - gadget,Shopping
pvr cinemas concert ticket 200,Entertainment
hospital checkup 999,Health
electricity board - rent,Bills
rent at dth 99,Bills
donation 450 miscellaneous vendor,Other
membership fee 450 hospital,Health
paid flipkart for electronics 300,Shopping
paid metro for fuel 1500,Transport
gift shop donation 2000,Other
movie ticket at concert 300,Entertainment
invoice 450 mobile network,Bills
exam board 800,Education
broadband provider - monthly bill,Bills
movie ticket at spotify 650,Entertainment
netflix 450,Entertainment
school certification 999,Education
paid library for tuition fee 200,Education
monthly bill at broadband provider 800,Bills
order at decathlon 999,Shopping
transfer at charity 99,Other
unknown merchant miscellaneous expense 500,Other
paid gift shop for donation 999,Other
paid rapido for commute 50,Transport
paid concert for outing 500,Entertainment
tuition fee at library 250,Education
electricity board 50,Bills
landlord 650,Bills
pvr cinemas - subscription,Entertainment
paid gaming store for movie ticket 1200,Entertainment
paid water department for subscription fee 1500,Bills
canteen 300,Food
disney+ hotstar outing 200,Entertainment
tuition center 120,Education
flipkart clothes 800,Shopping
uber top-up 250,Transport
library certification 999,Education
bank 450,Other
gift 999 friend,Other
paid bus pass for commute 800,Transport
amusement park 2500,Entertainment
mobile network 2500,Bills
book purchase at tuition center 250,Education
uber 200,Transport
physiotherapist 150,Health
apollo pharmacy - insurance premium,Health
donation 650 atm,Other
coursera - course fee,Education
metro - ticket,Transport
friend miscellaneous expense 2000,Other
purchase at nike store 2000,Shopping
paid h&m for clothes 1500,Shopping
concert ticket at bookmyshow 200,Entertainment
youtube premium 650,Entertainment
burger king 150,Food
paid bookstore for course fee 450,Education
h&m - gadget,Shopping
paid hospital for consultation 120,Health
gadget at zara 999,Shopping
friend miscellaneous expense 1500,Other
paid gym for treatment 450,Health
workshop at bookstore 2000,Education
local cafe - takeout,Food
paid electricity board for invoice 99,Bills
school - tuition fee,Education
paid friend for gift 120,Other
ola commute 500,Transport
broadband provider - invoice,Bills
snacks at zomato 300,Food
atm 50,Other
recharge 99 bus pass,Transport
fare 2000 metro,Transport
ticket at petrol pump 450,Transport
movie ticket at disney+ hotstar 1200,Entertainment
unknown merchant cash payment 250,Other
membership fee at physiotherapist 800,Health
paid zara for gadget 1200,Shopping
optician - membership fee,Health
fare 1200 toll,Transport
landlord rent 500,Bills
exam fee at exam board 500,Education
gadget 1500 local market,Shopping
college - book purchase,Education
